major,major_name,gpa,cert_count,english_test_taken,gender,high_income,high_satisfaction,regular_employment,cohort
2.0,사회,4.04,0.0,1,1.0,1,0,1,2024
4.0,공학,,0.0,0,1.0,0,1,1,2024
2.0,사회,,0.0,0,1.0,0,0,0,2024
6.0,의약,,2.0,0,1.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,1,0,1,2024
4.0,공학,3.81,2.0,0,2.0,1,1,1,2024
1.0,인문,,0.0,1,1.0,0,0,1,2024
2.0,사회,,0.0,0,2.0,0,0,1,2024
4.0,공학,4.186,0.0,0,2.0,0,0,0,2024
4.0,공학,,0.0,1,1.0,1,0,1,2024
4.0,공학,3.96,0.0,0,2.0,1,1,1,2024
6.0,의약,,0.0,1,2.0,1,1,1,2024
2.0,사회,,0.0,0,2.0,0,1,1,2024
2.0,사회,,0.0,0,2.0,0,1,1,2024
4.0,공학,3.79,0.0,1,1.0,1,1,1,2024
2.0,사회,3.6,0.0,0,2.0,1,1,1,2024
